Generation, Best Fitness, Average Fitness, Average Size
0, 25000001800, 72625016314.95, 4.67
1, 1800, 43500010874.15, 5.055
2, 1800, 45375029117.25, 5.72
3, 1800, 49000036086.95, 5.985
4, 1800, 11625004940.85, 6.055
5, 1800, 53125264197.1, 6.085
6, 1800, 13250003191.15, 6.005
7, 1800, 15750033619.75, 6.025
8, 1350, 16750004581, 6.04
9, 1350, 14500003401.5, 6.04
10, 1350, 15750036221.5, 6.145
11, 1350, 15000005541, 6.245
12, 1350, 13000099381, 6.43
13, 1350, 13500069349, 6.585
14, 1350, 13125008191.5, 6.81
15, 1350, 8875089825.25, 6.905
16, 1350, 10500007983.35, 7.045
17, 1350, 11875008374.75, 7.03
18, 1350, 9750008773.8, 7.04
19, 1350, 9375049313.75, 7.015
20, 1350, 8250039814.25, 7.06
21, 1350, 9500164177.75, 7.035
22, 1350, 11125059722.5, 7.025
23, 1350, 8000069547.95, 7.08
24, 1350, 9750163315.05, 7.01
25, 1350, 38250100000.55, 7.035
26, 1350, 9875007273.75, 7.025
27, 1350, 34625168832.5, 7.01
28, 1350, 7375013682.5, 7.05
29, 1350, 11875166426, 7.065
30, 1350, 12500198406.25, 7.125
31, 1350, 10250009456.75, 7.04
32, 1350, 8625007816.5, 6.995
33, 1350, 9875006271.25, 7.005
34, 1350, 39625425264, 7.035
35, 1350, 7000006389.5, 7.02
36, 1350, 27125276201.279606, 7.075
37, 1350, 7750016364.768513, 7.03
38, 1350, 8625071225.488907, 7.06
39, 1350, 41250007630.25, 7.055
40, 1350, 9875008801, 7.02
41, 1350, 6875004646.25, 7.02
42, 1350, 5875006504.25, 7.05
43, 1350, 7375005728.25, 7.035
44, 1350, 7750194917, 7.03
45, 1350, 51750091425.5, 7.08
46, 1350, 10250100741, 7.06
47, 1350, 50500028299.7, 7.07
48, 1350, 29125006026.5, 7
49, 1350, 40375006523.75, 6.985
50, 1350, 9375008863, 7.04
51, 1350, 31500070287.1, 6.985
52, 1350, 10250006775, 7.02
53, 1350, 7375005415.5, 7.015
54, 1350, 8875006778.85, 7.035
55, 1350, 30375090330.03125, 7.045
56, 1350, 31250101151.78125, 7.085
57, 1350, 10750005678.75, 7
58, 1350, 10875007537.25, 7
59, 1350, 9375037003, 7.025
60, 1350, 8125036178.151316, 6.99
61, 1350, 10750320612.5, 7.095
62, 1350, 10750008498.5, 7.03
63, 1350, 9125099684.5, 7.015
64, 1350, 10250154137.25, 7.055
65, 1350, 39875037944.90608, 6.99
66, 1350, 9000068407.75, 6.98
67, 1350, 40750165923.75, 7.07
68, 1350, 6750037126.85, 7.03
69, 1350, 7750006503.5, 7.03
70, 1350, 10375007311.75, 6.99
71, 1350, 9250006059.75, 7
72, 1350, 39750099760.25, 7.045
73, 1350, 8625098141.75, 7.035
74, 1350, 32750278452.25, 7.05
75, 1350, 10375350371.5, 6.97
76, 1350, 7250006207.5, 7.035
77, 1350, 8625035748.75, 6.995
78, 1350, 11250006730.75, 7.095
79, 1350, 52750142470, 7.1
80, 1350, 12125698345.45, 7.095
81, 1350, 9375005407, 6.935
82, 1350, 41125007232.5, 7.065
83, 1350, 7875132332, 7
84, 1350, 7250007169.5, 7.03
85, 1350, 9625036926.5, 7.05
86, 1350, 10125006221.25, 7.045
87, 1350, 10150082804.902779, 7.005
88, 1350, 30250073092, 7.05
89, 1350, 40875131351.25, 7.01
90, 1350, 44000086111.25, 7.02
91, 1350, 7750004782.5, 7.015
92, 1350, 35625039374.5, 7.04
93, 1350, 29000121593.75, 7.05
94, 1350, 9125171746.5, 7.015
95, 1350, 9000007170, 6.995
96, 1350, 9750005889.75, 6.97
97, 1350, 63750133806.25, 7.06
98, 1350, 8200026039.5, 6.985
99, 1350, 8375006110.25, 6.945
100, 1350, 9375008409.5, 7.045
